,Word,Count
0,onpauscom,4
1,companason,34
2,panasonhmiset,34
3,hmisetactiv,34
4,activwifiact,16
5,onstopcom,4
6,ondestroicom,2
7,ontrimmemoricom,2
8,activwifimanageract,14
9,onstartcom,4
10,onresumcom,8
11,callmethod,6
12,methodprocess,6
13,processqualifi,6
14,qualifiuser,6
15,userandroid,6
16,androidapp,12
17,appcontextimpl,6
18,contextimplstartservic,6
19,startservicandroid,12
20,androidcontent,6
21,contentcontextwrapp,6
22,contextwrappstartservic,6
23,appactiv,4
24,activonresum,4
25,onresumandroid,4
26,androidsupport,4
27,supportapp,4
28,appfragmentact,4
29,fragmentactonresum,4
30,activbaseact,4
31,baseactonresum,4
32,oncreatcom,2
33,wifiactnull,2
34,buttononsaveinstancest,2
35,onsaveinstancestentri,2
36,entricom,2
37,onsaveinstancestcom,2
38,wifimanageractbundl,2
39,bundlandroid,4
40,androidviewhierarchyst,2
41,viewhierarchystbundl,2
42,androidview,32
43,viewandroid,2
44,viewabssavedst,28
45,abssavedstandroid,28
46,androidlastautofillid,2
47,lastautofillidandroid,2
48,androidfragment,2
49,fragmentandroid,2
50,appfragmentmanagerst,2
51,fragmentmanagerstdde,1
52,viewview,2
53,viewsetsystemuivis,2
54,setsystemuiviscom,2
55,wifiactconnecttowifi,2
56,connecttowificom,2
57,wifiactonwificlick,2
58,classnambaseact,7
59,baseactfunctionnam,7
60,functionnamondestroi,2
61,ondestroivalu,2
62,valuondestroi,2
63,classnamwifiact,779
64,wifiactfunctionnam,779
65,onstartstartservic,2
66,functionnamonresum,3
67,onresumvalu,3
68,valuonresum,2
69,functionnamregisterintentfilt,3
70,registerintentfiltvalu,3
71,valuregist,2
72,registintentfilt,2
73,classnamwifimanageract,6
74,wifimanageractfunctionnam,6
75,functionnamiswifivariantsen,2
76,iswifivariantsenvalu,2
77,valuentri,6
78,valumaindata,1
79,maindatatrue,1
80,truewifidata,1
81,wifidatatrue,1
82,functionnamhandleconnectednetworkvis,1
83,handleconnectednetworkvisvalu,1
84,valuwifien,2
85,wifientrue,2
86,swrbaidu,42
87,baiduhmi,42
88,hmifun,29
89,funwifimanageract,4
90,wifimanageracthandlewifibuttonstat,1
91,handlewifibuttonstatwifistat,1
92,wifistattrue,1
93,functionnamhandleswitch,1
94,handleswitchvalu,1
95,wifimanageractonpaus,2
96,onpaushandlewifibuttonstat,1
97,handlewifibuttonstattrue,1
98,qualcommbuild,1
99,builddff,1
100,dffidba,1
101,builddate,1
102,openglshader,1
103,shadercompil,1
104,compilversion,1
105,localbranch,1
106,branchmybranchefaab,1
107,mybranchefaabcbcd,1
108,remotbranch,2
109,branchquic,1
110,reconstructbranch,1
111,pfpxff,1
112,xffxff,1
113,androidhardwar,1
114,hardwarconfigstor,1
115,configstorisurfaceflingerconfig,1
116,isurfaceflingerconfighaswidecolordisplai,1
117,haswidecolordisplairetriev,1
118,initiegl,1
119,eglversion,1
120,swapbehavior,1
121,functionnamhandlewifimngstgbtnclick,1
122,handlewifimngstgbtnclickvalu,1
123,valuenter,1
124,hmiswr,13
125,wifimanageractstartact,1
126,startactstart,1
127,startwifi,1
128,wifiactiv,1
129,functionnamonpaus,2
130,onpausvalu,2
131,valuonpaus,1
132,valutogglewifist,1
133,togglewifisttrue,1
134,onpausgetwifibuttonstatu,1
135,getwifibuttonstatutrue,1
136,functionnamoncreat,1
137,oncreatvalu,1
138,valuoncreat,1
139,functionnaminitview,1
140,initviewvalu,1
141,functionnaminitcontrol,1
142,initcontrolvalu,1
143,funwifiact,25
144,wifiacthandleconnectednetworkvis,9
145,handleconnectednetworkvisgetwifistat,9
146,getwifistattrue,9
147,wifiactgetscanresult,11
148,getscanresultlist,11
149,listavail,11
150,availwifi,11
151,wifihotspot,11
152,functionnamiswapivariantblock,315
153,iswapivariantblockvalu,315
154,valusecur,324
155,securtype,315
156,functionnamisinconnect,315
157,isinconnectvalu,315
158,valuacsia,162
159,acsiacorp,96
160,acsiamanag,32
161,acsiaguest,32
162,acsiadev,32
163,valurse,96
164,rsetest,130
165,valunetgear,9
166,valudirect,21
167,directyoatlpmsdu,3
168,valuhuwifi,9
169,directvqinltmsmj,11
170,directdmatclwimsnl,11
171,valuautom,9
172,automtest,11
173,valuprint,9
174,printlaserjet,10
175,laserjetpro,10
176,promfp,10
177,valuhotspot,9
178,functionnamhandleallavailnetwork,22
179,handleallavailnetworkvalu,22
180,valusavednetwork,11
181,valupresentvisiblenetwork,11
182,functionnamhandleifwifiavailablenetwork,4
183,handleifwifiavailablenetworkconfig,4
184,configvalu,5
185,valunull,5
186,functionnamgetwapivariantinfo,2
187,getwapivariantinfovalu,2
188,valuwifivari,1
189,valuresult,1
190,resultfals,1
191,functionnamforcescan,1
192,forcescanvalu,1
193,functionnammwifiscanreceiv,19
194,mwifiscanreceivonrec,19
195,onrecerror,19
196,errorintent,19
197,intentaction,20
198,actionandroid,19
199,androidnet,19
200,netwifi,19
201,wifistate,12
202,statechang,12
203,functionnamhandlenetworkstatechang,12
204,handlenetworkstatechangvalu,11
205,valudetailedst,11
206,detailedstdisconnect,2
207,handlenetworkstatechangconfig,1
208,wifiwifi,1
209,functionnamhandlewifistatechang,1
210,handlewifistatechangvalu,1
211,valustate,1
212,wifiscan,2
213,scanresult,2
214,classnamwifiadapt,1
215,wifiadaptfunctionnam,1
216,functionnamonbindviewhold,1
217,onbindviewholdvalu,1
218,valuallwifilist,1
219,allwifilistposit,1
220,positgetsecuritytyp,1
221,getsecuritytypwifinametru,1
222,functionnamonwificlick,1
223,onwificlickvalu,1
224,valugetsecuritytyp,1
225,getsecuritytyptrue,1
226,setsystemuiviscreat,1
227,creatintent,1
228,actionaction,1
229,actionactiv,1
230,activfullscreen,1
231,setsystemuivisstartservic,1
232,wifiactaddview,2
233,addviewdisplai,2
234,displaipassword,2
235,passwordenter,2
236,enterdialog,2
237,dialogaddview,2
238,addviewmethod,2
239,functionnamsetonfocuschangelisten,1
240,setonfocuschangelistenvalu,1
241,valuhasfocu,1
242,hasfocutrue,1
243,functionnamhandlepassokclick,1
244,handlepassokclickvalu,1
245,valuhandlepassokclick,1
246,handlepassokclickssid,1
247,ssidrse,25
248,testenter,1
249,entercallfromdialogbutton,1
250,functionnamhidesoftkeyboard,1
251,hidesoftkeyboardvalu,1
252,valuhidesoftinputfromwindow,1
253,hidesoftinputfromwindowtrue,1
254,functionnamremovepassenterwindow,1
255,removepassenterwindowcallfrom,1
256,callfromvalu,1
257,valuconnecttowifi,1
258,connecttowifiispasswordvalid,1
259,wifiactfinallyconnect,1
260,finallyconnectnetworkssid,1
261,networkssidrse,1
262,testnotopen,1
263,notopeniswapiconnect,1
264,iswapiconnectfals,1
265,wifiactaddnetwork,1
266,addnetworkget,1
267,getnetwork,1
268,networkaddnetwork,1
269,addnetworkmethod,1
270,functionnamconnectnewnetwork,2
271,connectnewnetworkvalu,2
272,valuaddnetwork,1
273,addnetworksuccess,1
274,successnetid,2
275,valuenabl,1
276,enablsuccess,1
277,wifiactconnect,1
278,connectconnect,1
279,connectnew,1
280,newnetwork,1
281,functionnamfinallyconnect,1
282,finallyconnectssid,1
283,ssidvalu,1
284,testisclickedforconnect,1
285,isclickedforconnectfals,1
286,wificonfigur,5
287,configurnetwork,5
288,networkchang,5
289,functionnammconnectlisten,1
290,mconnectlistenerror,1
291,erroronsuccess,1
292,functionnamgetsavednetworklist,21
293,getsavednetworklistvalu,21
294,valuconfig,21
295,confignetid,7
296,configssid,7
297,configbssid,7
298,bssidnull,24
299,functionnamgetconfig,17
300,getconfigsuccess,17
301,successvalu,17
302,functionnamgetconnectsummari,34
303,getconnectsummarivalu,34
304,valugetconnectsummaryid,10
305,getconnectsummaryidssid,10
306,testprovid,17
307,providnull,17
308,nullbssid,17
309,nullfqdn,17
310,fqdnnull,17
311,nullprio,17
312,priohidden,17
313,hiddenfals,17
314,networkselectionstatunetwork,17
315,networkselect,17
316,selectenabl,17
317,haseverconnectfals,10
318,keymgmtwpa,17
319,wpapsk,17
320,pskprotocol,17
321,protocolwpa,17
322,wparsn,17
323,authalgorithmopen,17
324,pairwiseciphtkip,17
325,tkipccmp,34
326,groupciphtkip,17
327,simnum,17
328,enterprisconfig,17
329,assigndhcp,17
330,proxiset,17
331,cuidcname,17
332,cnameandroid,17
333,androiduid,34
334,uidluid,17
335,luidlname,17
336,lnameandroid,17
337,uidlcuid,17
338,lcuiduserapprov,17
339,userapprovuser,17
340,userunspecifi,17
341,unspecifinointernetaccessexpect,17
342,nointernetaccessexpectfals,17
343,falsroamingfailureblacklisttimemilli,17
344,recentfailurassoci,17
345,associreject,17
346,rejectcode,17
347,sharethisapfals,17
348,valusave,17
349,detailedstscan,1
350,detailedstconnect,4
351,detailedstauthent,2
352,detailedstobtain,2
353,obtainipaddr,2
354,valugetconnectsummari,7
355,getconnectsummarissid,7
356,haseverconnecttrue,7
357,testacsia,30
358,testrse,6
359,testnetgear,2
360,testsecur,2
361,testhuwifi,2
362,testdirect,4
363,testautom,2
364,testhotspot,2
365,testprint,1
366,functionnamsetcurrentconfig,1
367,setcurrentconfigvalu,1
368,valucurrent,1
369,currentrse,1
370,testconnectedssid,1
371,connectedssidrse,1
372,functionnamssid,1
373,ssidconfigur,1
374,configurvalu,1
375,valuskip,1
376,skipsave,1
